parType,ParasiteCorrectedBinomial,nOcc,nHosts,specificity,nOccurRange,areaKm,wosOct2015,wosFeb2015,status,maxAllHostRS,maxOneHostRS,phylodivNew,maxphyloNew,Zoonotic,HumanEmerging,Domesticated,close,sexual,vertical,closenonsexual,nonclose,environmental,soil,water,feces,vector,intermediate,no. traits,trait flag,REF - AG 2017,REF type,doi,Notes (Alyssa Gehman)
Protozoa,Sarcocystis hemionilatrantis,1,6,G,NA,NA,,4,ung,6307636.164,6307636.164,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2017,
Protozoa,Sarcocystis hofmanni,2,2,G,NA,NA,,2,ung,19280300.88,15261022.82,25.6,25.6,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2018,
Protozoa,Sarcocystis hominis,1,1,S,NA,NA,,28,tsp,6085429.445,6085429.445,NA,NA,1,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2019,
Protozoa,Sarcocystis klaseriensis,1,1,S,NA,NA,,1,ung,2016377.813,2016377.813,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2020,
Protozoa,Sarcocystis melampi,1,1,S,NA,NA,,1,ung,3485542.674,3485542.674,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2021,
Protozoa,Sarcocystis mongolica,1,1,S,NA,NA,,0,ung,715728.4104,715728.4104,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2022,
Protozoa,Sarcocystis neurona,1,3,G,NA,NA,,438,tsp,538053.3024,538053.3024,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2023,
Protozoa,Sarcocystis odocoileocanis,1,10,G,NA,NA,,2,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2024,
Protozoa,Sarcocystis odoi,1,10,G,NA,NA,,2,ung,14410477.61,14410477.61,NA,NA,,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2025,
Protozoa,Sarcocystis phacochoeri,1,1,S,NA,NA,,1,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2026,
Protozoa,Sarcocystis tarandivulpes,1,2,G,NA,NA,,3,ung,18168072.93,18168072.93,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2027,
Protozoa,Sarcocystis woodhousei,1,1,S,NA,NA,,1,ung,1950024.369,1950024.369,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2028,
Protozoa,Sarcocystis youngi,1,5,G,NA,NA,,0,ung,6307636.164,6307636.164,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2029,
Bacteria,Serratia marcescens,NA,NA,G,NA,NA,,5533,NA,NA,NA,NA,NA,,,,1,0,0,1,1,1,1,1,0,0,0,6,no,Mahlen SD. Serratia Infections: from Military Experiments to Current Practice.Clinical Microbiology Reviews. 2011;24(4):755-791. ,Article,doi:10.1128/CMR.00017-11.,
Bacteria,Staphylococcus auricularis,1,1,S,NA,NA,,29,ung,538053.3024,538053.3024,NA,NA,1,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Kluytmans et al. Clinical Microbiology Reviews. 1997.,Article,,
Bacteria,Staphylococcus cohnii,1,1,S,NA,NA,,109,ung,538053.3024,538053.3024,NA,NA,1,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Wang et al. Foodborne Pathgens and disease. 2015.,Article,10.1089/fpd.2014.1891,
Bacteria,Staphylococcus epidermidis,4,7,G,NA,NA,,7160,tsp,12446658.33,9582710.449,212.1,170.6,1,1,,1,0,0,1,1,1,0,0,0,0,0,4,no,"Namvar AE, Bastarahang S, Abbasi N, et al. Clinical characteristics of Staphylococcus epidermidis: a systematic review.ÊGMS Hygiene and Infection Control. 2014;9(3):Doc23. ",Article,10.3205/dgkh000243.,
Bacteria,Staphylococcus sciuri,1,1,S,NA,NA,,188,tsp,538053.3024,538053.3024,NA,NA,1,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Nemeghaire et al. Journal of Antimicrobioal Chemotherapy. 2014.,Article,10.1093/jac/dku268,
Bacteria,Staphylococcus simulans,1,1,S,NA,NA,,205,tsp,538053.3024,538053.3024,NA,NA,1,,,1,0,0,1,0,0,0,0,0,0,0,2,no,Kloos and Schleifer. International Journal of Systematic Bacteriology. 1975.,Article,10.1099/00207713-25-1-62,
Bacteria,Staphylococcus warneri,1,1,S,NA,NA,,245,tsp,538053.3024,538053.3024,NA,NA,1,1,,1,0,0,1,1,1,0,0,0,0,0,4,no,Schmidt et al. 2013. BMC Veterinary Research.,Article,10.1186/1746-6148-10-17,
Bacteria,Staphylococcus xylosus,1,2,G,NA,NA,,606,tsp,538053.3024,538053.3024,NA,NA,1,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Vanderhaeghen et al. 2014. The Veterinary Journal.,Article,10.1016/j.tvjl.2014.11.001,
Bacteria,Actinobacillus equuli,1,4,G,NA,NA,,97,tsp,100160.2999,100160.2999,NA,NA,1,,,1,0,1,1,0,0,0,0,0,0,0,3,no,"Thompson AB, Postey RC, Snider T, Pasma T.ÊActinobacillus equuliÊas a primary pathogen in breeding sows and piglets.ÊThe Canadian Veterinary Journal. 2010;51(11):1223-1225.",Article,,
Bacteria,Anaplasma marginale,11,67,G,57,25806295.06,2062,1107,tsp,90747060.11,28012634.55,261.3,131.2,0,,,0,0,0,0,0,0,0,0,0,1,0,1,no,"Kocan KM, Zivkovic Z, Blouin EF, et al. Silencing of genes involved inAnaplasma marginale-tick interactions affects the pathogen developmental cycle inÊDermacentor variabilis.ÊBMC Developmental Biology. 2009;9:42. doi:10.1186/1471-213X-9-42.",Article,10.1186/1471-213X-9-42,
Bacteria,Anaplasma ovis,3,13,G,NA,NA,,74,tsp,14571714.44,7256885.952,79.9,53.4,0,,,0,0,0,0,0,0,0,0,0,1,0,1,no,Hornok et al. Research in Veterinary Science. 2012. ,Article,10.1016/j.rvsc.2010.10.011,
Bacteria,Anaplasma phagocytophilum,11,87,G,73,10269664.91,5196,1192,tsp,91359770.9,28012634.55,247,131.2,1,,,0,0,0,0,0,0,0,0,0,1,0,1,no,"Yang J, Liu Z, Niu Q, et al. Evaluation of different nested PCRs for detection ofAnaplasma phagocytophilumÊin ruminants and ticks.ÊBMC Veterinary Research. 2016;12:35. doi:10.1186/s12917-016-0663-2.",Article,10.1186/s12917-016-0663-2.,
Bacteria,Anaplasma platys,1,1,S,NA,NA,,106,tsp,3485542.674,3485542.674,NA,NA,0,,,0,0,0,0,0,0,0,0,0,1,0,1,no,Almazan et al. Ticks and Tick-borne Diseases. 2016.,Article,10.1016/j.ttbdis.2015.11.002,
Helminth,Apteragia odocoilei,3,10,G,NA,NA,,0,ung,25996301.66,14410477.61,48.2,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 96",Textbook,10.2307/3282469,"Using family level traits because text suggests that it is acceptable, and there appears to have been several renaming situations. synonym with Spiculopteragia pursglovei and Skrjabinagia odoceilei (doi for the taxanomy paper)"
Helminth,Apteragia pursglovei,3,4,G,NA,NA,,1,ung,25996301.66,14410477.61,48.2,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 97",Textbook,10.2307/3282470,"Using family level traits because text suggests that it is acceptable, and there appears to have been several renaming situations. synonym with Spiculopteragia pursglovei and Skrjabinagia odoceilei (doi for the taxanomy paper)"
Helminth,Apteragia quadrispiculata,1,8,G,NA,NA,,3,ung,7256885.952,7256885.952,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 98",Textbook,,"Using family level traits because text suggests that it is acceptable, and there appears to have been several renaming situations"
Helminth,Ashworthius gagarini,2,2,G,NA,NA,,1,ung,22517908.77,15261022.82,35.4,35.4,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 99",Textbook,,"Using family level traits because text suggests that it is acceptable, and there appears to have been several renaming situations"
Helminth,Ashworthius patriciapilittae,NA,NA,G,NA,NA,,1,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 100",Textbook,,"Using family level traits because text suggests that it is acceptable, and there appears to have been several renaming situations"
Helminth,Ashworthius sidemi,3,6,G,NA,NA,,13,ung,22523623.79,15261022.82,71.1,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 101",Textbook,10.1080/03014223.1997.9518125,"Using family level traits because text suggests that it is acceptable, and there appears to have been several renaming situations"
Virus,Bovine herpesvirus 3,5,5,G,NA,NA,,5,NA,32603825.33,12063886.71,100.8,53,0,,,1,1,0,1,0,0,0,0,0,0,0,3,yes,Rossiter et al. 1988. Veterinary Microbiology,Article,10.1016/0378-1135(88)90025-9,some older ref's suggest this is associated with malignant catarrhal fever; aka bovine cytomegalovirus. Newer texts do not even mention BHV-3
Helminth,Bronchonema magna,4,7,G,NA,NA,,1,ung,10888296.27,6776775.184,92.9,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Boomker et al. The Ondersteport journal of veterinary research. 2000.,Article,,Field evidence supported by family level information from Anderson. 
Helminth,Bunostomum trigonocephalum,2,2,G,NA,NA,,30,tsp,8244105.673,7963741.77,53.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 506",Textbook,,
Helminth,Camelostrongylus harrisi,1,5,G,NA,NA,,0,ung,197904.4524,197904.4524,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Booyse et al. The onderstepoort journal of veterinary research. 1997.,Article,,Found in the feces     https://www.researchgate.net/publication/14046104
Helminth,Camelostrongylus mentulatus,1,1,S,NA,NA,,23,ung,7256885.952,7256885.952,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Flach and Sewell.  The journal of zoo animal medicine. 1987,Article,10.2307/20460239,
Bacteria,Campylobacter fetus,1,1,S,NA,NA,,807,ung,9582710.449,9582710.449,NA,NA,1,1,,1,1,0,0,1,1,0,0,0,0,0,4,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 112",Textbook,,transmitted via surfaces contaminated with bull semen
Virus,Capripoxvirus Lumpy skin disease virus,8,18,G,NA,NA,,3,ung,35759049.58,8949676.168,335.7,170.6,0,,,1,0,0,1,0,0,0,0,0,1,0,3,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 289",Textbook,,
Helminth,Chabertia ovina,4,7,G,NA,NA,,74,tsp,11562242.93,7256885.952,97.6,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,
Helminth,Cooperia acutispiculum,2,5,G,NA,NA,,1,ung,19661366.58,13575937.13,53,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperia connochaeti,1,1,S,NA,NA,,1,ung,3102967.9,3102967.9,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperia fuelleborni,6,19,G,NA,NA,,3,ung,29618163.38,8949676.168,136.5,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,,
Helminth,Cooperia hungi,10,33,G,33,213758.9211,27,4,ung,42798151.06,13575937.13,299.2,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperia neitzi,5,27,G,27,697786.7976,12,2,ung,36976761.49,13575937.13,113.6,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperia oncophora,2,4,G,NA,NA,,302,tsp,6313351.177,6307636.164,53.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,,
Helminth,Cooperia pectinata,5,7,G,NA,NA,,40,tsp,50040799.54,28012634.55,205.7,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,,
Helminth,Cooperia punctata,4,7,G,NA,NA,,117,tsp,36464862.41,28012634.55,179.2,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,,
Helminth,Cooperia rotundispiculum,16,45,G,41,2963486.963,13,10,ung,56329398.73,8442938.751,297.6,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperia yoshidai,9,28,G,26,214707.0555,8,1,ung,36679283.87,8949676.168,186.5,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperia zurnabada,1,2,G,NA,NA,,0,ung,5715.013147,5715.013147,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92",Textbook,lifecycle based on genus,
Helminth,Cooperoides antidorca,3,9,G,NA,NA,,0,ung,2892472.39,1950024.369,26.1,20,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 94",Textbook,lifecycle based on genus,
Helminth,Cooperoides hamiltoni,2,11,G,NA,NA,,0,ung,9570972.119,6085429.445,53,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 94",Textbook,,
Helminth,Cooperoides hepaticae,2,15,G,NA,NA,,0,ung,8249652.775,4764110.101,43.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 94",Textbook,,
Helminth,Cotylophoron indicum,1,2,G,NA,NA,,0,ung,2361083.4,2361083.4,NA,NA,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,Mukherjee. Junral of the Zoologial Society of India. 1969,Article,,
Helminth,Cotylophoron jacksoni,1,2,G,NA,NA,,3,ung,197904.4524,197904.4524,NA,NA,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,Miranda and Costa. 1999. Rev. Bras. Parasitol.Vet.,Article,,
Helminth,Craterostomum acuticaudatum,4,4,G,NA,NA,,3,tsp,2517225.205,2310772.898,28,24.4,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Protozoa,Cryptosporidium parvum,9,37,G,34,4057503.814,18582,4226,tsp,97320679.79,28012634.55,247,131.2,1,1,,0,0,0,0,1,1,0,1,1,0,0,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.159-163,Textbook,,
Helminth,Cyathostomum alveatum,4,4,G,NA,NA,,0,ung,2517225.205,2310772.898,28,24.4,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cyathostomum catinatum,4,5,G,NA,NA,,40,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cyathostomum labratum,1,1,S,NA,NA,,0,tsp,100160.2999,100160.2999,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cyathostomum montgomeryi,4,6,G,NA,NA,,4,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cyathostomum tetracanthum,4,5,G,NA,NA,,9,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicocyclus auriculatus,4,6,G,NA,NA,,0,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicocyclus gyalocephaloides,1,1,S,NA,NA,,1,ung,100160.2999,100160.2999,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicocyclus insigne,4,5,G,NA,NA,,18,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicocyclus nassatus,4,5,G,NA,NA,,51,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicocyclus triramosus,4,6,G,NA,NA,,3,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicodontophorus reineckei,4,6,G,NA,NA,,1,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicodontophorus schuermanni,NA,NA,G,NA,NA,,0,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicostephanus bidentatus,4,4,G,NA,NA,,4,ung,2517225.205,2310772.898,28,24.4,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicostephanus calicatus,4,5,G,NA,NA,,21,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicostephanus longiconus,1,1,S,NA,NA,,2,ung,100160.2999,100160.2999,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Cylicostephanus minutus,4,5,G,NA,NA,,19,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61",Textbook,,"super family level life cycle, text suggests that is acceptable"
Arthropod,Demodex bovis,1,1,S,NA,NA,,19,NA,5715.013147,5715.013147,NA,NA,0,,,1,0,1,1,0,0,0,0,0,0,0,3,no,"Fisher, Miller and Everet. Veterinary Parasitology. 1980.",Article,10.1016/0304-4017(80)90027-8,
Bacteria,Dermatophilus congolensis,2,6,G,NA,NA,,210,tsp,482523.0704,280363.9032,43.6,43.6,1,,,1,0,0,1,1,1,0,0,0,1,0,5,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 99",Textbook,,
Helminth,Dictyocaulus capreolus,2,6,G,NA,NA,,7,ung,15220627.72,7963741.77,30,30,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 109-110",Textbook,,
Helminth,Dictyocaulus eckerti,3,9,G,NA,NA,,22,ung,30481650.54,15261022.82,50.4,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 109-110",Textbook,,
Helminth,Dictyocaulus filaria,2,2,G,NA,NA,,123,tsp,7744105.287,6085429.445,131.6,131.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 109-110",Textbook,,
Helminth,Dictyocaulus magnus,NA,NA,G,NA,NA,,0,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 109-110",Textbook,,
Helminth,Dictyocaulus noerneri,1,1,S,NA,NA,,5,ung,15261022.82,15261022.82,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 109-110",Textbook,,
Helminth,Dictyocaulus viviparus,16,47,G,40,57699001.25,1085,467,tsp,125203887.8,28012634.55,378.6,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 109-110",Textbook,,
Helminth,Echinococcus granulosus,7,19,G,NA,NA,,2609,tsp,97380471.8,28012634.55,195,131.2,1,1,,0,0,0,0,1,1,0,0,1,0,1,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp335,Textbook,,
Helminth,Gaigeria pachyscelis,4,16,G,NA,NA,,22,tsp,8621262.304,3485542.674,89.5,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 58",Textbook,,
Helminth,Gastrodiscus aegyptiacus,4,5,G,NA,NA,,12,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,Mukaratirwa et al. 2004. Journal of the South African Veterinary Association.,Article,,
Helminth,Gastrothylax crumenifer,1,1,S,NA,NA,,54,tsp,34624.9566,34624.9566,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,1,4,no,Hanna et al. 1988. International Journal for Parasitology.,Article,10.1016/0020-7519(88)90016-1,
Helminth,Gastrothylax glandiformis,1,1,S,NA,NA,,0,ung,34624.9566,34624.9566,NA,NA,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 555",Textbook,,Family level information
Helminth,Haemonchus bedfordi,10,28,G,28,809139.2014,21,1,ung,35682705.92,8949676.168,190.4,53,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp 400,Textbook,,
