Ok,Parasite type,Parasite genus,Parasite species,Parasite name,Old name,ParasiteCorrectedBinomial,WOS June_2014,WOS June_2014 Viral Species,Specificity score,Specialist - Generalist,Confidence score,Direct,Indirect,Close,Sexual,Vertical,CloseNonsexual,Non-close,Environment,Soil,Water,Feces,Vector,Intermediate,Notes on Transmission,Notes on Specificity,no. transmission modes,trait flag,REF - AG 2016,REF type,doi,Notes (Alyssa Gehman),
546,Bacteria,Clostridium,NA,Clostridium NA,Clostridium sp.,,,,,,,0,1,0,0,0,0,1,1,1,0,1,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/clostridium-spp-eng.php,,4,yes,,,,repeat/non-specific,
,Bacteria,Clostridium,sp.,Clostridium sp.,Clostridium spp.,,,,,,,0,1,0,0,0,0,1,1,1,0,1,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/clostridium-spp-eng.php,,4,yes,,,,repeat/non-specific,
1517,Bacteria,Enterobacter,NA,Enterobacter NA,Enterobacter sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,1,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/enterobacter-eng.php,,4,yes,,,,repeat/non-specific,
,Bacteria,Enterobacter,sp.,Enterobacter sp.,Enterobacter sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,1,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/enterobacter-eng.php,,4,yes,,,,repeat/non-specific,
1460,Bacteria,Plesiomonas,NA,Plesiomonas NA,Plesiomonas sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,1,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/plesiomonas-shigelloides-eng.php,,4,yes,,,,repeat/non-specific,
1454,Bacteria,Proteus,vulgarus,Proteus vulgarus,Proteus vulgaris,Proteus vulgarus,2,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,Bailey & Scott's Diagnostic Microbiology,,2,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002. pg 367",Textbook,,,
1471,Bacteria,Neorickettsia,risticii,Neorickettsia risticii,Ehrlichia risticii,Neorickettsia risticii,32,,,,,0,1,0,0,0,0,1,1,0,1,0,1,0,https://microbewiki.kenyon.edu/index.php/Neorickettsia_risticii,,4,no,"Lin M, Zhang C, Gibson K, Rikihisa Y. Analysis of complete genome sequence of Neorickettsia risticii: causative agent of Potomac horse fever. Nucleic Acids Research. 2009;37(18):6076-6091. ",Article,doi:10.1093/nar/gkp642.,,
456,Fungus,Candida,albicans,Candida albicans,Candid Albicans,Candida albicans,30298,,,,,1,1,1,0,1,1,0,0,0,0,0,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds30e-eng.php,,3,no,"Bliss, Joseph M.; Basavegowda, Kumar P.; Watson, Wendy J.; et al. Pediatric Infectious Disease Journal. 2008.",Article,10.1097/INF.0b013e31815bb69d,,
446,Fungus,Trichophyton,mentagrophytes,Trichophyton mentagrophytes,Trichophyton mentagrophytes,Trichophyton mentagrophytes,1355,,,,,1,1,1,1,0,1,1,1,0,0,0,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/epidermophyton-eng.php,,5,no,"Luchsinger, Isabelle; Bosshard, Philipp Peter; Kasper, Romano Silvio; et al. Sexually Transmitted Infections. 2015. AND Dua Kirti. Infectious Diseases of Farm Animals. 2012",Article,10.1136/sextrans-2015-052036,sexual transmissin is for the same species but in humans - possible this does not apply to non-human versions,
457,Fungus,Blastomyces,dermatitidis,Blastomyces dermatitidis,Blastomyces dermatitidis,Blastomyces dermatitidis,764,,,,,1,1,1,0,0,0,1,1,0,0,0,0,0,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/blastomyces-dermatitidis-eng.php,,3,no,"Reed KD, Meece JK, Archer JR, Peterson AT. Ecologic Niche Modeling ofBlastomyces dermatitidis in Wisconsin. Carter DA, ed. PLoS ONE. 2008;3(4):e2034. ",Article,doi:10.1371/journal.pone.0002034.,,
876,Helminth,Syphacia,NA,Syphacia NA,Syphacia sp.,,,,,,,1,0,1,0,0,1,1,0,0,0,1,0,0,"Studies on the Life Cycle of Syphacia obvelata, a Common Nematode Parasite of Rats",,4,yes,,,,repeat/non-specific,
1113,Helminth,Angiostrongylus,costaricensis,Angiostrongylus costaricensis,Parastrongylus costaricensis,Angiostrongylus costaricensis,127,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,http://www.stanford.edu/group/parasites/ParaSites2009/MarleneKennedy_Angiostrongylus/MarleneKennedy_Angiostrongylus.htm,,4,no,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. ,Article,doi:10.1016/j.ijppaw.2015.02.006.,eggs pass in snail feces,
1112,Helminth,Angiostrongylus,gubernaculatus,Angiostrongylus gubernaculatus,Angiostrongylus gubernaculatus,Angiostrongylus gubernaculatus,2,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,http://www.hawaii.edu/cowielab/1%20Cowie%20Angio%20Workshop.pdf,,4,no,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. ,Article,doi:10.1016/j.ijppaw.2015.02.006.,eggs pass in snail feces,
,Helminth,Angiostrongylus,vasorum,Angiostrongylus vasorum,Angiostrongylus vasorum,Angiostrongylus vasorum,235,,3,S,3,0,1,0,0,0,0,1,1,0,0,1,0,1,https://www.liv.ac.uk/testapet/pdf/Infocus_A.vasorum.pdf,,4,no,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. ,Article,doi:10.1016/j.ijppaw.2015.02.006.,eggs pass in snail feces,
1110,Helminth,Angiostrongylus,NA,Angiostrongylus NA,Angiostrongylus raillieti or A. vasorum,,,,,,,0,1,0,0,0,0,1,1,0,1,0,0,1,http://www.hawaii.edu/cowielab/1%20Cowie%20Angio%20Workshop.pdf,,4,yes,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. ,Article,doi:10.1016/j.ijppaw.2015.02.006.,repeat/non-specific.  Although there is some evidence that although vasorum and railleti are considered synonyms that might not be  an accurate representation,
,Helminth,Angiostrongylus,sp.,Angiostrongylus sp.,Angiostrongylus sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,0,0,1,http://www.hawaii.edu/cowielab/1%20Cowie%20Angio%20Workshop.pdf,,4,yes,,,,repeat/non-specific,
989,Helminth,Mammomonogamus,NA,Mammomonogamus NA,Mammomonogamus sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,0,0,1,"Kim HY, Lee SM, Joo JE, et al. (1998). ""Human syngamosis: the first case in Korea"". Thorax 53 (8): 717–18. doi:10.1136/thx.53.8.717. PMC 1745283. PMID 9828862",,4,yes,,,,repeat/non-specific,
,Helminth,Mammomonogamus,sp.,Mammomonogamus sp.,Mammomonogamus sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,0,0,1,"Kim HY, Lee SM, Joo JE, et al. (1998). ""Human syngamosis: the first case in Korea"". Thorax 53 (8): 717–18. doi:10.1136/thx.53.8.717. PMC 1745283. PMID 9828862",,4,yes,,,,repeat/non-specific,
142,Protozoa,Neospora,caninum,Neospora caninum,Neospora caninum,Neospora caninum,2272,,,,,1,1,0,0,1,0,1,1,0,0,1,0,1,Epidemiology and Control of Neosporosis and Neospora caninum,,5,no,"Donahoe SL, Lindsay SA, Krockenberger M, Phalen D, _lapeta J. A review of neosporosis and pathologic findings of Neospora caninum infection in wildlife.International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):216-238. ",Article,doi:10.1016/j.ijppaw.2015.04.002.,,
154,Protozoa,Isospora,heydorni,Isospora heydorni,Isospora heydorni,Isospora heydorni,1,,,,,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-146,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
140,Protozoa,Sarcocystis,arctosi,Sarcocystis arctosi,Sarcocystis arctosi,Sarcocystis arctosi,2,,,,,0,1,0,0,0,0,1,1,0,1,1,0,1,"Sarcocystis arctosi sp. nov. (Apicomplexa, Sarcocystidae)
from the brown bear (Ursus arctos), and its genetic similarity
to schizonts of Sarcocystis canis-like parasite associated
with fatal hepatitis in polar bears (Ursus maritimus)",,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2004,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
139,Protozoa,Sarcocystis,axicuonis,Sarcocystis axicuonis,Sarcocystis axicuonis,Sarcocystis axicuonis,1,,,,,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2005,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
137,Protozoa,Sarcocystis,fusiformis,Sarcocystis fusiformis,Sarcocystis fusiformis,Sarcocystis fusiformis,58,,,,,0,1,0,0,0,0,1,1,0,1,1,0,1,,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2006,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
123,Protozoa,Sarcocystis,ursusi,Sarcocystis ursusi,Sarcocystis ursusi,Sarcocystis ursusi,1,,,,,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2007,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
150,Protozoa,Isospora,NA,Isospora NA,Isospora sp.,,,,,,,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,yes,,,,repeat/non-specific,
127,Protozoa,Sarcocystis,NA,Sarcocystis NA,Sarcocysits sp.,,,,,,,0,1,0,0,0,0,1,0,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,4,yes,,,,repeat/non-specific,
,Protozoan,Entamoeba,hartmanni,Entamoeba hartmanni,Entamoeba hartmanni,Entamoeba hartmanni,26,,5,G,3,1,1,1,0,0,0,1,0,0,1,1,0,0,http://pathmicro.med.sc.edu/parasitology/intest-protozoa.htm,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.112,,,,
,Protozoan,Leishmania,infantum,Leishmania infantum,Leishmania infantum,Leishmania infantum,2111,,5,G,3,1,1,1,0,0,1,0,0,0,0,0,1,1,http://www.capcvet.org/capc-recommendations/canine-leishmaniasis,,4,no,Frietas et al. 2006. Veterinary Parasitology,Article,doi:10.1016/j.vetpar.2005.12.011,Considering blood transfusion transmission to be close-non-sexual…,
,Protozoan,Isospora,felis,Isospora felis,Isospora felis,Cystoisospora felis,76,,3,S,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Dubey. 2014. The Journal of Eukaryotic Microbiology. ,Article,doi:10.1111/jeu.12145,,
,Protozoan,Isospora,altaica,Isospora altaica,Isospora altaica,Isospora altaica,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-146,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,canis,Isospora canis,Isospora canis,Isospora canis,35,,4,G,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-147,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,goussevi,Isospora goussevi,Isospora goussevi,Isospora goussevi,0,,1,S,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-148,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,hoogstraali,Isospora hoogstraali,Isospora hoogstraali,Isospora hoogstraali,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-149,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,laidlawi,Isospora laidlawi,Isospora laidlawi,Isospora laidlawi,1,,2,S,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-150,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,lutrae,Isospora lutrae,Isospora lutrae,Isospora lutrae,1,,1,S,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-151,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,martessii,Isospora martessii,Isospora martessii,Isospora martessii,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-152,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,melis,Isospora melis,Isospora melis,Isospora melis,2,,1,S,1,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-153,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,nivalis,Isospora nivalis,Isospora nivalis,Isospora nivalis,0,,1,S,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-154,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,pavlowskyi,Isospora pavlowskyi,Isospora pavlowskyi,Isospora pavlowskyi,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-155,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,sengeri,Isospora sengeri,Isospora sengeri,Isospora sengeri,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-156,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,spilogales,Isospora spilogales,Isospora spilogales,Isospora spilogales,1,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-157,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,vulpis,Isospora vulpis,Isospora vulpis,Isospora vulpis,0,,4,G,3,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-158,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Isospora,zorillae,Isospora zorillae,Isospora zorillae,Isospora zorillae,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,0,http://parasite.org.au/para-site/text/isospora-text.html,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.145-159,Textbook,,Generalized Isospora life cycle - but textbook suggests that the lifecycle is pretty conserved,
,Protozoan,Sarcocystis,alceslatrans,Sarcocystis alceslatrans,Sarcocystis alceslatrans,Sarcocystis alceslatrans,3,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2004,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,alectorivulpes,Sarcocystis alectorivulpes,Sarcocystis alectorivulpes,Sarcocystis alectorivulpes,0,,3,S,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2005,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,baibacinacanis,Sarcocystis baibacinacanis,Sarcocystis baibacinacanis,Sarcocystis baibacinacanis,0,,3,S,6,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2006,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,campestris,Sarcocystis campestris,Sarcocystis campestris,Sarcocystis campestris,5,,1,S,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2007,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,capracanis,Sarcocystis capracanis,Sarcocystis capracanis,Sarcocystis capracanis,28,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2008,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,capreolicanis,Sarcocystis capreolicanis,Sarcocystis capreolicanis,Sarcocystis capreoli,1,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2009,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,citellivulpes,Sarcocystis citellivulpes,Sarcocystis citellivulpes,Sarcocystis citellivulpes,0,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2010,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,corsaci,Sarcocystis corsaci,Sarcocystis corsaci,Sarcocystis corsaci,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2011,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,cruzi,Sarcocystis cruzi,Sarcocystis cruzi,Sarcocystis cruzi,117,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2012,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,felis,Sarcocystis felis,Sarcocystis felis,Sarcocystis felis,5,,3,S,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2013,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,ferovis,Sarcocystis ferovis,Sarcocystis ferovis,Sarcocystis ferovis,1,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2014,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,gracilis,Sarcocystis gracilis,Sarcocystis gracilis,Sarcocystis gracilis,8,,5,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2015,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,grueneri,Sarcocystis grueneri,Sarcocystis grueneri,Sarcocystis grueneri,3,,5,G,4,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2016,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,hemionilatrantis,Sarcocystis hemionilatrantis,Sarcocystis hemionilatrantis,Sarcocystis hemionilatrantis,4,,5,G,4,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2017,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,hofmanni,Sarcocystis hofmanni,Sarcocystis hofmanni,Sarcocystis hofmanni,2,,2,S,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2018,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,hueti,Sarcocystis hueti,Sarcocystis hueti,Sarcocystis hueti,0,,1,S,6,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2019,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,hydrurgae,Sarcocystis hydrurgae,Sarcocystis hydrurgae,Sarcocystis hydrurgae,1,,1,S,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2020,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,kirkpatricki,Sarcocystis kirkpatricki,Sarcocystis kirkpatricki,Sarcocystis kirkpatricki,3,,4,G,3,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2021,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
,Protozoan,Sarcocystis,leporum,Sarcocystis leporum,Sarcocystis leporum,Sarcocystis leporum,3,,5,G,4,0,1,0,0,0,0,1,1,0,1,1,0,1,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC523554/,,5,no,Fayer R. Sarcocystis spp. in Human Infections. Clinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2022,Generalized lifecycle - Marquardt textbook suggests that this is acceptable,
